#Fermi-LAT energy points
#E (GeV) F(erg/cm^2/s) error(erg/cm^2/s)
0.1197284 2.782675e-10 4.320226e-12
0.175736 1.371493e-10 3.437277e-12
0.2579454 6.840274e-11 3.201041e-12
0.3786163 3.922656e-11 3.036997e-12
0.5557299 3.79908e-11 3.317519e-12
0.8156986 3.746278e-11 3.640678e-12
1.197284 2.859329e-11 3.89845e-12
1.757371 3.660324e-11 4.20265e-12
2.579468 4.329536e-11 4.663271e-12
3.786146 4.741375e-11 5.152214e-12
5.5573 6.087261e-11 5.770672e-12
8.156999 6.221362e-11 6.120325e-12
12.9863 8.188062e-11 5.886341e-12
23.09326 9.476316e-11 7.09109e-12
41.06628 9.320332e-11 8.569925e-12
73.02731 8.268462e-11 1.073483e-11
129.863 8.038287e-11 1.435097e-11
225.9676 7.980947e-11 1.934809e-11
